actuator_name,index
sma1_node#1,0
sma2_node#1,1
sma3_node#1,2
sma4_node#1,3
sma5_node#1,4
sma6_node#1,5
light_node#1,6
moth_node#1,7
sma1_node#2,8
sma2_node#2,9
sma3_node#2,10
sma4_node#2,11
sma5_node#2,12
sma6_node#2,13
light_node#2,14
moth_node#2,15
sma1_node#3,16
sma2_node#3,17
sma3_node#3,18
sma4_node#3,19
sma5_node#3,20
sma6_node#3,21
light_node#3,22
moth_node#3,23
sma1_node#4,24
sma2_node#4,25
sma3_node#4,26
sma4_node#4,27
sma5_node#4,28
sma6_node#4,29
light_node#4,30
moth_node#4,31
sma1_node#5,32
sma2_node#5,33
sma3_node#5,34
sma4_node#5,35
sma5_node#5,36
sma6_node#5,37
light_node#5,38
moth_node#5,39
sma1_node#6,40
sma2_node#6,41
sma3_node#6,42
sma4_node#6,43
sma5_node#6,44
sma6_node#6,45
light_node#6,46
moth_node#6,47
sma1_node#7,48
sma2_node#7,49
sma3_node#7,50
sma4_node#7,51
sma5_node#7,52
sma6_node#7,53
light_node#7,54
moth_node#7,55
sma1_node#8,56
sma2_node#8,57
sma3_node#8,58
sma4_node#8,59
sma5_node#8,60
sma6_node#8,61
light_node#8,62
moth_node#8,63
sma1_node#9,64
sma2_node#9,65
sma3_node#9,66
sma4_node#9,67
sma5_node#9,68
sma6_node#9,69
light_node#9,70
moth_node#9,71
sma1_node#10,72
sma2_node#10,73
sma3_node#10,74
sma4_node#10,75
sma5_node#10,76
sma6_node#10,77
light_node#10,78
moth_node#10,79
sma1_node#11,80
sma2_node#11,81
sma3_node#11,82
sma4_node#11,83
sma5_node#11,84
sma6_node#11,85
light_node#11,86
moth_node#11,87
sma1_node#12,88
sma2_node#12,89
sma3_node#12,90
sma4_node#12,91
sma5_node#12,92
sma6_node#12,93
light_node#12,94
moth_node#12,95
sma1_node#13,96
sma2_node#13,97
sma3_node#13,98
sma4_node#13,99
sma5_node#13,100
sma6_node#13,101
light_node#13,102
moth_node#13,103
sma1_node#14,104
sma2_node#14,105
sma3_node#14,106
sma4_node#14,107
sma5_node#14,108
sma6_node#14,109
light_node#14,110
moth_node#14,111
sma1_node#15,112
sma2_node#15,113
sma3_node#15,114
sma4_node#15,115
sma5_node#15,116
sma6_node#15,117
light_node#15,118
moth_node#15,119
sma1_node#16,120
sma2_node#16,121
sma3_node#16,122
sma4_node#16,123
sma5_node#16,124
sma6_node#16,125
light_node#16,126
moth_node#16,127
sma1_node#17,128
sma2_node#17,129
sma3_node#17,130
sma4_node#17,131
sma5_node#17,132
sma6_node#17,133
light_node#17,134
moth_node#17,135
sma1_node#18,136
sma2_node#18,137
sma3_node#18,138
sma4_node#18,139
sma5_node#18,140
sma6_node#18,141
light_node#18,142
moth_node#18,143
sma1_node#19,144
sma2_node#19,145
sma3_node#19,146
sma4_node#19,147
sma5_node#19,148
sma6_node#19,149
light_node#19,150
moth_node#19,151
sma1_node#20,152
sma2_node#20,153
sma3_node#20,154
sma4_node#20,155
sma5_node#20,156
sma6_node#20,157
light_node#20,158
moth_node#20,159
sma1_node#21,160
sma2_node#21,161
sma3_node#21,162
sma4_node#21,163
sma5_node#21,164
sma6_node#21,165
light_node#21,166
moth_node#21,167
sma1_node#22,168
sma2_node#22,169
sma3_node#22,170
sma4_node#22,171
sma5_node#22,172
sma6_node#22,173
light_node#22,174
moth_node#22,175
sma1_node#23,176
sma2_node#23,177
sma3_node#23,178
sma4_node#23,179
sma5_node#23,180
sma6_node#23,181
light_node#23,182
moth_node#23,183
sma1_node#24,184
sma2_node#24,185
sma3_node#24,186
sma4_node#24,187
sma5_node#24,188
sma6_node#24,189
light_node#24,190
moth_node#24,191
