date,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3,start_time_4,end_time_4,start_time_5,end_time_5,start_time_6,end_time_6,start_time_7,end_time_7,,,,,,,,,,
Sep_17,13:38:57,13:43:45,14:03:20,14:04:30,15:25:49,15:26:50,15:37:34,15:42:13,,,,,,,,,,,,,,,,
Sep_18,13:00:00,13:02:45,13:12:35,13:14:53,13:15:00,13:17:30,13:20:30,13:22:10,13:26:49,13:27:50,13:28:13,13:31:13,13:57:29,13:59:13,,,,,,,,,,
Sep_19,13:25:46,13:27:12,14:21:19,14:22:48,15:25:23,15:27:29,15:28:03,15:30:06,,,,,,,,,,,,,,,,
Sep_20,13:37:59,13:40:00,13:58:10,14:00:19,14:16:52,14:18:06,,,,,,,,,,,,,,,,,,
Sep_21,14:12:29,14:13:34,,,,,,,,,,,,,,,,,,,,,,
Sep_24,13:19:44,13:20:52,15:43:36,15:45:36,,,,,,,,,,,,,,,,,,,,
Sep_25,13:17:33,13:20:02,,,,,,,,,,,,,,,,,,,,,,
Sep_26,13:09:41,13:11:50,,,,,,,,,,,,,,,,,,,,,,
Sep_27,15:47:47,15:49:20,,,,,,,,,,,,,,,,,,,,,,
Sep_28,13:14:20,13:16:21,13:16:52,13:18:00,13:18:32,13:20:28,13:21:01,13:23:02,,,,,,,,,,,,,,,,
Oct_02,13:34:38,13:38:12,,,,,,,,,,,,,,,,,,,,,,
Oct_03,,,,,,,,,,,,,,,,,,,,,,,,
Oct_05,,,,,,,,,,,,,,,,,,,,,,,,
