date,start_time_1,end_time_1,start_time_2,end_time_2,start_time_3,end_time_3,start_time_4,end_time_4,start_time_5,end_time_5,start_time_6,end_time_6,start_time_7,end_time_7,start_time_8,end_time_8,start_time_9,end_time_9,start_time_10,end_time_10,start_time_11,end_time_11,start_time_12,end_time_12,start_time_13,end_time_13
Sep_17,13:38:06,13:43:45,13:44:42,13:45:51,14:03:20,14:04:50,14:49:13,14:50:30,14:58:16,15:00:00,15:25:15,15:27:30,15:37:34,15:42:20,,,,,,,,,,,,
Sep_18,13:00:00,13:02:45,13:12:35,13:14:53,13:15:00,13:17:30,13:20:30,13:22:10,13:26:49,13:27:50,13:28:13,13:31:13,13:33:20,13:34:30,13:57:29,13:59:13,14:30:00,14:32:20,15:50:58,15:52:11,,,,,,
Sep_19,13:25:46,13:27:12,13:58:55,14:00:10,14:15:28,14:16:35,14:17:02,14:18:22,14:18:46,14:19:58,14:21:19,14:22:55,14:29:00,14:30:00,15:19:54,15:21:16,15:25:23,15:27:29,15:28:03,15:30:24,,,,,,
Sep_20,13:02:18,13:03:34,13:05:42,13:07:15,13:26:03,13:27:00,13:37:59,13:40:00,13:58:10,14:00:19,14:16:49,14:18:06,14:22:58,14:25:00,14:56:35,14:58:07,15:15:50,15:17:00,15:34:54,15:36:03,15:49:07,15:51:22,,,,
Sep_21,14:12:29,14:13:34,14:15:20,14:17:12,,,,,,,,,,,,,,,,,,,,,,
Sep_24,13:19:18,13:21:00,13:23:26,13:24:28,13:39:38,13:40:30,15:36:08,15:37:02,15:43:07,15:45:43,15:46:38,15:50:15,,,,,,,,,,,,,,
Sep_25,13:17:33,13:20:21,13:34:56,13:37:52,14:39:06,14:40:05,,,,,,,,,,,,,,,,,,,,
Sep_26,13:09:26,13:12:25,13:17:10,13:18:43,14:26:00,14:27:02,15:37:24,15:38:25,,,,,,,,,,,,,,,,,,
Sep_27,15:47:37,15:50:03,,,,,,,,,,,,,,,,,,,,,,,,
Sep_28,13:00:00,13:01:53,13:10:05,13:11:19,13:14:20,13:18:00,13:18:27,13:20:33,13:21:01,13:24:14,13:24:42,13:25:55,13:34:29,13:35:38,13:44:15,13:46:27,13:46:55,13:49:17,13:49:45,13:51:16,14:02:10,14:03:10,14:36:50,14:38:30,,
Oct_02,13:33:40,13:38:31,13:38:40,13:41:28,,,,,,,,,,,,,,,,,,,,,,
Oct_03,13:24:30,13:26:44,13:28:24,13:32:30,15:20:55,15:22:00,,,,,,,,,,,,,,,,,,,,
Oct_05,,,,,,,,,,,,,,,,,,,,,,,,,,
